round	decision	why	evidence	result
1	Anchor on bjan/pycentauri PROTOCOL.md first	richest single community artifact for this exact model	raw fetch of docs/PROTOCOL.md returned both CC1 and CC2 wire protocols	used as the spine, then cross-checked every load-bearing claim
2	Verify command codes against Elegoo's own SDK, not the community doc	user demanded no guessing	raw fetch of elegoo_fdm_cc_message_adapter.cpp gave COMMAND_MAPPING_TABLE verbatim	confirmed 0/1/128/129/130/131; recovered the commented-out 258/259/320/321/386/401/402/403
3	Fetch the vendor SDCP v3.0.0 spec for envelope, Ack and upload	need an authoritative contract, not a client's opinion	raw fetch of the CBD Technology SDCP md	Ack enums, multipart field names, 1 MiB chunking and error codes all sourced there
4	Fetch OpenCentauri's Centauri-specific API doc for the CC1 quirk layer	the spec is resin-era and misses FDM fields	raw fetch of docs/software/api.md	Cmd 386 VideoUrl, field-name typos, CC1 Capabilities sample, Cmd 131 = Continue Print
5	Correct the brief's HTTP REST assumption	no fetched source had /sdcp/status or /sdcp/attributes as HTTP paths	port probes in pycentauri PROTOCOL.md and CC2_PROTOCOL.md both show port 80 as the SPA plus one upload route	sdcp/* strings are WebSocket topics; marked the REST list UNCONFIRMED rather than repeating it
6	Emit wss://host:3030, not TLS on 443	the SDK's scheme switch is explicit	elegoo_fdm_cc_protocol.cpp maps https host to wss on 3030	documented TLS reusing 3030; no evidence 443 is open
7	Record the TimeStamp conflict rather than pick silently	spec says seconds, SDK and pycentauri send milliseconds	SDK uses duration_cast<milliseconds>; spec examples show 1687069655	recommended milliseconds, flagged the contradiction
8	Surface the start-print crash as the top open risk	two credible implementations disagree about Cmd 128 on this exact model	HA README says the SDCP command crashed the printer (#297); SDK and pycentauri ship it enabled	recommended start-print off by default for CC1, opt-in with hardware verification
9	Did not copy the CC2_PROTOCOL CC1 comparison rows	they contradict every other source	that doc calls CC1 transport "TCP" and max clients "Unlimited"; pycentauri measured WS + 5 flags	noted the divergence inside the report instead of citing the bad rows
10	Found caesar1111/elegoo-link, CentauriLink, cbd-taylor, mistergibson, knoopx, Node-RED, openHAB, Homey	user listed them as expected sources	searches returned nothing; CentauriLink raw and API both 404	listed all as NOT FOUND rather than inventing URLs
11	Build tools/verify_sdcp.py as the acceptance lever	research claims must be checkable against a real printer	user asked for a minimal working sequence a developer can implement	stdlib-only probe with the read path wired to the cited frames
12	Write tools/test_verify_sdcp.py before trusting the probe	"it compiles" is not evidence, per principle-prove-it-works	loopback fake SDCP server answering Cmd 1/512/258	all checks pass; caught two real bugs (see 13, 14)
13	Fixed multi-frame response handling after the self-test failed	Cmd 258 arrives as an Ack frame then a data frame	[FAIL] Cmd 258 returns a file list	added collect= to request(); Cmd 258 and 320/321 now scan for the payload frame
14	Hardened the HTTP reader after a loopback ConnectionResetError	Windows resets the socket when the peer closes straight after writing	[WinError 10054] in grab_jpeg	http_get now tolerates a missing header terminator and defaults status to 200
15	Verified the decimal-length frame prefix quirk is handled	some firmware sends "123{json...}"	sent "123"+status json from the fake printer and the module parsed it	Cmd 0 fallback returned full parsed status
